#自建
/d	的
az.	令
az.	念
azc	錳
azj	舒
azo	含
azr	貪
b'c	隘
b'e	際
b'j	附
b'n	墜
b'z	隊
b,'	阬
b,d	防
b,l	職
b,l	隴
b,o	陪
b,t	障
b.	恥
b/.	聰
b/.	隱
b/d	聘
b/i	隍
b/n	陲
b/o	聒
b/t	阡
b/t	陴
ba.	聆
baa	險
baa	陝
bab	鄹
bap	聆
bas	陰
bay	除
baz	聆
bb	耶
bbb	聶
bbx	陬
bdu	陷
bdu	陶
be'	阮
bei	陘
bel	陋
bem	隔
beq	陌
bfl	隨
bfm	隋
bfn	墮
bfx	阪
bfx	陂
bg'	院
bg'	耽
bgl	陀
bhh	阱
bhn	陞
bjo	阿
blm	隨
bln	陛
blq	階
blz	隧
bme	阻
bmn	聃
bna	陡
bnn	陸
bnu	陷
bnx	陵
bon	聖
bor	隕
bqa	隄
bqd	陽
bqk	限
bsh	聯
bsp	聊
bt.	聽
btt	陣
bva	聯
bvc	隘
bvn	墜
bvz	隊
bw	耿
bww	隙
bx	取
bxa	聚
bxc	盈
bxn	隆
bxt	降
bxx	娶
bxz	聚
byq	陳
bz	孕
c'	匹
c',	飄
c'c	醫
c'd	酚
c'd	翳
c'i	雅
c'x	醱
c'x	毆
c,c	醯
c,k	釀
c,q	黯
c,r	匱
c,t	醉
c,z	醇
c.i	酬
c.i	罹
c.w	醮
c/'	醜
c/a	眾
c/o	酩
c/w	醺
c/x	覆
c/y	酥
c;i	匯
ca.	酞
caa	眾
cal	醃
cay	酴
caz	黔
cc,	蠶
cd	巨
cd,	蜀
cd.	酌
cda	臥
cdl	配
ce	票
ce	酉
ce'	飄
cee	罪
cee	匪
cej	酊
cej	剽
cel	甄
cel	甌
cew	罵
cf/	瓢
cfo	醣
cft	匠
ch.	慝
che	酣
cho	匿
chq	醋
ci	匡
cid	臣
cid	劻
cio	點
cit	罩
cj/	牙
cjb	邪
cjd	鴉
ck'	覽
cka	鑒
ckc	監
ckc	鹽
cko	臨
cml	罷
cmo	酮
cna	歐
cna	歜
cnn	墨
cno	酷
cno	黠
cnq	署
cnr	黷
cnt	睪
cnw	黑
cnz	酵
co	叵
cod	鷗
coi	匣
coj	罰
coo	區
cor	頤
cow	熙
cox	釅
cpm	匾
cqc	醞
cqn	醒
cqt	覃
cqv	醴
cr	買
cr	賈
csd	黝
csx	酸
ct	匝
ctc	醯
cte	置
cte	羈
cto	罟
cuu	黜
cux	酗
cwa	默
cwi	羅
cwy	粟
cx	要
cxb	郾
cxm	腎
cxn	堅
cxo	酪
cxr	賢
cxv	豎
cxw	緊
cy	栗
cz	眾
d'i	雊
d'i	雛
d,s	弦
d.	刃
d.	勺
d..	忍
d/	刁
d/	尹
d/.	忽
d//	勿
d/j	刎
d/l	戮
d/o	君
d/u	韜
d;	勻
db	弭
dcd	觸
dd'	翼
dd.	韌
dd/	弱
dd/	羽
dd;	弱
dd;	羽
ddb	鄒
ddd	鶸
ddh	羿
ddi	翟
ddl	弛
ddm	脅
ddq	習
ddt	翠
ddv	翌
de	勺
ded	弼
dee	疆
dee	彊
dej	劃
dek	張
dem	彌
deo	司
deo	匐
df/	弧
dfl	危
dfx	皴
dfx	皺
dgt	帚
dh	弗
dh	肅
dhr	費
di	引
di	弔
dij	尋
dil	戳
dl	也
dl	已
dl	己
dl.	忌
dlj	刨
dlx	改
do	加
do	召
do	句
do	甸
do.	勰
do,	強
dob	郡
dob	邵
dod	劬
doe	駕
dok	袈
dol	包
dor	賀
dot	彈
dot	韋
dov	群
doy	架
dnc	盡
dne	畫
dne	晝
dnq	書
dq	旬
dq'	免
dq'	兔
dql	色
dqz	象
dr	負
ds	勾
ds	弘
ds,	強
dt	聿
dtb	那
dtm	匍
dud	芻
dux	匈
dx	匆
dyd	粥
e'	兀
e',	虺
e'a	袱
e'i	碓
e'j	駙
e'o	裕
e'r	頑
e't	碎
e'v	磴
e'x	歿
e'y	褓
e,	神
e,'	硫
e,'	襯
e,a	駭
e,d	磅
e,k	禳
e,t	碎
e,x	更
e,x	駛
e,x	褸
e./	祕
e.i	駐
e.w	礁
e/	歹
e/'	魂
e/'	髡
e//	衫
e/;	泵
e/a	祆
e/a	襖
e/c	面
e/e	鬃
e/j	列
e/l	死
e/l	髦
e/l	戛
e/l	髭
e/l	鬣
e/m	而
e/m	髯
e/m	鬍
e/m	驕
e/n	甦
e/n	衽
e/o	石
e/o	髻
e/q	百
e/r	頁
e/r	鬚
e/r	鬢
e/s	鬆
e/t	碑
e/t	裨
e/x	夏
e/x	耍
e/x	憂
e/x	髮
e/y	殊
e/y	硃
e/z	砭
e;n	霪
e;o	霑
e;u	函
ea	天
eaa	驗
eaa	殮
eaj	騎
eaj	褕
eal	殲
eas	餮
eay	臻
eb	祁
ebx	敢
ec'	靦
ece	驃
ecl	襬
eco	驅
ect	砸
ect	驛
ed	初
eda	袂
edd	翮
edl	砲
edl	袍
edl	馳
edl	雹
edo	祠
edo	裙
edo	駒
edq	殉
edq	褶
edt	肆
ee	二
ee	非
ee'	元
ee.	悲
eed	翡
eed	鵡
eee	三
eee	韭
eee	霏
eeh	研
eej	硎
eek	裴
eel	麗
eel	武
eel	驪
eeo	福
eeo	露
ees	云
eet	輩
eet	砰
eew	碼
eex	政
eex	硬
eex	斐
eex	霞
ef'	礦
efc	驢
eff	褫
efj	褥
efk	祳
efl	祇
efl	砥
efl	祗
efl	衹
efm	礪
efo	祐
eft	祈
eft	斫
eft	褲
efw	騵
efx	被
efx	破
eg	雨
eg'	霓
eg.	零
eg;	雨
ega	靛
egd	雪
egd	雩
ege	靂
egh	霽
egi	確
egi	靈
egi	硿
egi	霍
egk	震
egl	電
egl	碗
egl	豌
egl	雹
egl	駝
egm	需
egm	霄
ego	雷
ego	霉
ego	霤
egp	零
egr	殯
egs	雲
egx	雯
egx	霎
eh'	祺
eh'	磺
eh/	形
ehb	邢
ehe	甜
ehi	醛
ehj	刑
ehl	襪
eho	褡
ehy	碟
ei	下
ei.	下
ei.	忑
eid	丐
eid	勁
eid	焉
eid	騁
eie	正
eie	祉
eii	馴
eio	袖
eio	砧
eir	禎
eir	頸
ej	于
ejc	盂
ejd	霧
ejk	裂
ejn	型
ejw	烈
ek	長
ekc	襤
ekd	殤
eke	砟
eke	祚
ekx	複
el'	驥
el'	冀
el'	覜
el;	兆
ela	礙
elb	邶
elb	酈
eld	砌
ele	北
elk	褪
ell	瓦
ell	殘
elm	背
eln	霆
elr	頫
em,	融
em;	雨
ema	丙
ema	兩
ema	殃
eme	祖
eme	砠
emj	耐
emm	禍
emm	硼
emn	再
emo	碉
emo	裯
emx	霰
en	社
en'	驍
ena	砍
enc	磕
ene	亙
eni	褂
enj	到
enj	禱
eno	禧
enq	褚
enr	磧
ens	砝
enx	致
eo'	祝
eo,	砷
eo/	矽
eo;	碌
eo;	祿
eoc	硒
eoe	互
eoj	副
eol	祀
eom	鬲
eon	裡
eoo	磊
eoo	靄
eor	碩
eot	禪
eot	霹
eov	豆
eow	騾
eoy	裸
ep	印
epk	碾
epm	騙
epm	褊
epx	霞
eq'	視
eq'	硯
eq'	碘
eq'	靦
eqa	禔
eqe	袒
eqo	碣
eqo	褐
eqv	禮
er	頁
esl	磯
esn	至
eso	殆
esq	晉
esx	駿
esw	系
et	干
ete	殖
etj	刊
etj	磚
etm	補
etm	霸
eto	舌
etx	豉
euw	碳
ev	祥
eve	碰
evh	駢
evi	磋
evr	頭
evs	磁
ew	不
ew	馬
ew/	砂
ewa	馱
ewc	駟
ewc	盃
ewe	丕
ewe	歪
ewi	璽
ewm	爾
ewm	硝
ewm	甭
ewo	否
ewo	襠
ewt	平
ewt	磷
ewx	馭
ex,	騷
exa	驟
exo	駱
exx	駁
exz	驟
eya	礎
eye	襟
eyq	霜
eyy	霖
ezn	霾
eys	鬆
f',	瘋
f'.	應
f'd	鷹
f'h	廢
f'i	雄
f'i	雁
f'j	府
f'm	腐
f'm	膺
f'r	贗
f'x	廢
f'x	疫
f'x	痠
f,;	瘀
f,b	廓
f,l	龐
f,t	瘁
f,t	瘴
f,x	虔
f.b	廊
f/.	愿
f//	彪
f/a	疚
f/e	歷
f/j	痢
f/m	癟
f/q	曆
f/t	痺
f/w	原
f/x	癥
f/x	痿
f/x	瘢
fa	仄
fa.	癒
fa/	疹
fad	痍
fah	疥
fai	痊
faj	劂
faj	瘉
fal	庵
fan	座
fao	瘡
faw	療
fb.	廳
fb.	癮
fcr	顱
fd'	麂
fd/	廖
fd;	康
fda	庚
fda	鏖
fdl	鹿
fdl	皰
fdl	厄
fdl	卮
fdl	庖
fdm	庸
fdm	瘸
fdn	塵
fdo	唐
fdo	痂
fdr	賡
fdx	慶
fdy	麋
fe	虐
fe'	覷
fe,	蜃
feb	邱
fed	虧
fee	症
fee	痱
fei	痙
fej	厨
fek	辰
fem	病
feo	痞
fev	痘
fex	廈
ffc	廬
ffe	瘧
ffl	底
ffr	質
ffx	疲
fgm	宥
fh'	廣
fh'	麒
fhe	虛
fhe	疳
fhi	癱
fhm	厲
fhm	癘
fho	瘩
fhq	厝
fht	席
fht	廝
fhw	庶
fhx	度
fi	左
fi'	兵
fi/	爪
fie	丘
fil	疵
fin	在
fio	店
fiz	存
fjj	麝
fka	疾
fkj	辱
fkl	疙
fkm	脣
fko	唇
fko	痴
fl	氏
fla	癡
flb	邸
fle	氐
fll	庇
fln	庭
flq	昏
flr	癲
fm	有
fma	獻
fmb	郁
fmb	鄘
fmd	勵
fme	疽
fmm	癇
fn	庄
fn.	痣
fna	欣
fna	瘓
fnj	廚
fnj	痔
fnv	癬
fo	右
fo	后
fo.	慮
foa	虞
foc	盧
fod	虜
fom	膚
fon	厘
fou	癌
fpm	瘺
fpt	癖
fq'	魘
fq'	覷
fqa	厭
fqc	瘟
fqc	靨
fqd	瘍
fqe	疸
fqk	痕
fqk	饜
fql	爬
fql	疤
fqn	壓
fqx	廄
fqz	厚
frj	廁
fs'	疣
fs/	瓜
fso	瘤
ft	斤
ft	布
ft'	兵
ft/	乒
ft/	乓
ft.	斥
fte	丘
ftm	廟
ftq	盾
ftr	癲
ftt	庫
ftu	岳
fu	疝
fua	庾
fux	瘦
fv	庠
fva	厥
fvk	癢
fvl	戲
fvw	廉
fw	灰
fw	疢
fwc	盔
fwd	癆
fwd	鷓
fwm	瘠
fwr	願
fwt	麟
fww	痰
fwx	廠
fx	反
fx	友
fx	皮
fx'	處
fx;	疼
fxr	頗
fy	床
fy'	魔
fye	靡
fyj	摩
fyl	麾
fyo	磨
fyq	廂
fyr	癩
fys	麼
fyy	麻
fyy	痲
fyy	痳
fyy	糜
fzj	序
fzj	劇
fzm	痛
g'	究
g'	冗
g'd	鴆
g'e	察
g'j	冠
g'o	容
g'o	豁
g'q	宿
g'x	寇
g,t	宰
g.,	蜜
g.j	寧
g.u	密
g/j	剜
g/l	宅
g/l	宛
g/t	牢
g/o	審
g/o	窗
g/o	窖
g;n	窪
ga'	窺
ga.	突
gaj	寄
gaw	寮
gbn	窿
gcd	宦
gcj	穿
gck	寰
gd	穹
gd/	寥
gdo	窘
gdx	竅
ge	宗
ge'	完
ge'	寅
gea	定
ged	寡
gee	宣
gej	宇
gel	窕
gen	室
gen	窒
geo	富
ger	賓
get	罕
gfk	宸
gfs	宏
gh'	寬
gh;	寒
gha	寞
ghe	騫
ghj	搴
ghn	塞
ghr	賽
ght	冪
ghy	寨
gi	空
gi,	蛋
gia	疋
gid	鶴
gim	胥
gio	宙
gir	寶
gix	寂
gj.	守
gjd	窮
gke	窄
gko	寤
gkx	寢
gky	寐
gl/	它
gme	宜
gml	寵
gmm	窩
gn;	冤
gno	害
gnr	竇
goj	割
gom	寓
goo	官
goo	宮
gor	實
gor	額
goy	窠
gpu	窟
gq'	冥
gqx	宴
gsd	窈
gt	帘
gt.	憲
gtt	軍
gud	寫
gul	竄
gvw	窯
gwm	宵
gwv	蘚
gwx	寂
gx	安
gxo	客
gxy	案
gy	宋
gym	竊
gz	字
gz	家
gz	冢
h'	共
h'a	葵
h'a	鑿
h'd	芬
h'd	蓊
h'e	蔡
h'i	難
h'j	荷
h'l	花
h'l	巷
h'l	靴
h'm	期
h'n	基
h'n	荏
h'o	蓓
h'u	舊
h'w	恭
h'w	蕉
h'x	芟
h'x	鞭
h'y	棻
h'y	葆
h,'	荒
h,d	芳
h,h	薺
h,k	蓑
h,l	芒
h,m	蒿
h,o	蓄
h,o	菩
h,t	革
h,t	芾
h,t	莘
h,t	萃
h,t	蒂
h.	芯
h..	蕊
h.z	芝
h/'	蒐
h/.	蔥
h/b	莠
h/l	苑
h/l	薨
h/m	蕎
h/n	董
h/o	蕃
h/o	茗
h/r	蘋
h/w	薰
h/w	鞦
h/x	萎
h/x	薇
h/y	菜
h/y	茱
h/z	孽
h;/	莎
h;a	茨
h;d	蕩
h;j	薄
h;l	范
h;l	茫
h;m	蒲
h;o	落
h;o	藩
h;t	萍
h;t	斟
h;v	蒞
h;x	菠
h;x	蔆
h;y	藻
ha	芙
ha.	苓
haa	莢
hah	芥
hah	莽
hai	荃
hal	菴
hao	蒼
hay	茶
hay	荼
hb	茸
hbn	薩
hbs	蔭
hbx	叢
hbx	蕞
hc	茜
hc/	夢
hcc	藍
hcd	苣
hcj	芽
hcl	蔑
hcl	甍
hcq	薯
hct	蕈
hcw	蘸
hd.	芍
hd;	菸
hdd	荔
hdh	蕭
hdl	苞
hdm	葡
hdo	茄
hdo	苟
hdo	蔔
hdq	荀
hdt	葦
hdu	萄
hdx	敬
hdy	菊
hdy	鞠
he	甘
he'	其
he'	蔬
he'	黃
hee	菲
hee	蒜
hee	薑
hee	韁
heh	葬
hei	莖
hej	芋
hej	蔚
hek	萇
hel	甚
hen	基
heo	蕾
hes	芸
het	華
hev	荳
hew	芣
hex	葭
hey	某
hf.	惹
hfa	蕨
hfc	蘆
hfd	薦
hfn	茬
hfo	若
hfo	蘑
hft	斯
hft	芹
hft	蓆
hfw	蔗
hfz	荐
hi'	觀
hg'	莞
hge	萱
hgj	苧
hgo	蓉
hgo	菅
hgq	蓿
hgt	帶
hgt	葷
hgx	鞍
hgz	蒙
hh	井
hhd	韉
hhj	荊
hhy	葉
hid	勸
hid	鸛
hie	芷
hij	對
hjo	苛
hkj	蔣
hkl	藏
hkn	莊
hkw	蕪
hl	世
hl	茂
hld	勘
hll	戡
hll	韆
hlt	蓮
hlt	蓬
hlv	韃
hlw	燕
hm,	繭
hm;	藤
hma	英
hma	鞅
hmi	藺
hmm	萵
hmn	苒
hmx	散
hmx	蔽
hmx	菔
hmy	蘭
hn'	覲
hn'	菟
hna	歡
hna	欺
hna	歎
hnb	鄞
hnc	蓋
hnd	勤
hnm	菁
hnn	鞋
hnn	薹
hno	薔
hnq	著
hns	藝
hnx	菱
ho	苗
ho'	黃
ho,	莓
hoa	茵
hoa	躉
hod	萼
hok	襄
hom	萬
hom	葫
hoo	藹
hoo	茴
hoo	莒
hoq	藷
hot	薜
hot	薛
hoy	菌
hpx	葭
hq	昔
hq	苜
hq'	觀
hq'	覲
hq'	莧
hqa	莫
hqd	募
hqd	鵲
hqe	靼
hqe	驀
hqj	摹
hqk	艱
hql	靶
hql	芭
hql	葩
hqm	萌
hqn	墓
hqo	葛
hqq	曹
hqq	暮
hqt	草
hqt	幕
hqw	慕
hqx	蔓
hso	苔
hsp	茆
hss	茲
hss	玆
hsy	藥
ht	羋
ht.	蕙
htd	勒
htm	莆
hto	苦
htx	芰
htx	萋
htz	荸
hua	萸
huu	茁
hvy	業
hwc	蘊
hwi	蘿
hwj	薊
hwm	鞘
hwx	菽
hwy	蘇
hx	艾
hxe	驚
hxj	擎
hxo	警
hxo	茹
hxx	藪
hxy	檠
hy	茉
hya	萊
hyb	鄴
hye	苯
hyj	莉
hym	藕
hyq	藉
hyt	薪
hz'	藐
hz/	菰
hzj	茅
hzw	蒸
hzw	荻
hzw	蓀
hzy	鞣
i'.	恐
i'l	玳
i't	珮
i't	鞏
i,'	琉
i,i	斑
i,k	瓖
i,l	瓏
i,m	璃
i,t	璋
i,x	玟
i.	惡
i.	玉
i.a	以
i.b	瑯
i.i	班
i.k	琅
i/'	瑰
i/a	玖
i/i	班
i/j	琍
i/m	齲
i/o	碧
i/q	珀
i/r	頻
i/u	瑤
i/x	璦
i/y	珠
i;	汞
i;s	琺
ia.	齡
ia.	玲
ia/	珍
iaa	鹼
iaa	巫
iaj	琦
iaj	瑜
iap	齡
iap	玲
icb	琊
ick	環
id	功
ido	齣
idt	瑋
ie	上
ie'	玩
ie.	忐
ie/	步
ied	巧
iee	上
iei	卡
iel	歲
iem	肯
ieq	睿
ier	項
ier	頊
iet	顰
ieu	齒
iew	瑪
if	琥
ifo	瑭
ifx	玻
ifz	璩
ige	瑄
ige	琮
igo	琯
igt	琿
igw	琮
igy	琛
ih	弄
ih'	琪
ih'	璜
iha	瑛
iha	璞
ihn	瑾
ii	玨
ii.	瑟
iie	止
iii	川
iil	琵
iil	琶
iio	玷
iio	齬
iiq	璿
iir	順
iiz	琴
ile	此
ile	些
ili	雌
ill	齜
ilo	鹹
ilo	訾
ilr	貲
ilw	紫
ily	柴
im	玥
ime	齟
imh	珊
imq	瑁
in	堊
inn	珪
inr	瓚
inx	瓊
io	由
io	占
io	吾
ioa	齪
iol	乩
iom	冑
iom	胄
ion	理
ioo	噩
iox	敔
iox	鹵
ipn	齷
ipx	瑕
iq'	現
iqk	齦
iql	琨
iqt	卓
iqw	璟
iqy	桌
ir	貢
ir	貞
irx	瓔
isl	璣
iso	瑙
it;	球
itm	瑚
itx	歧
iui	璀
ium	瑞
iwr	瑣
iwt	璘
iwx	叔
ix	攻
ix	玫
ixk	餐
ixn	壑
ixo	珞
ixq	督
ixy	璨
iyi	班
iyy	琳
iz	琢
j'	扒
j'a	揆
j'd	拋
j'd	扮
j'i	推
j'x	投
j'x	撥
j,'	抗
j,e	擅
j,h	擠
j,i	擁
j,k	攘
j,l	攏
j,l	拽
j,m	摘
j,m	搞
j,n	撞
j,t	摔
j,v	拉
j,w	掠
j,x	接
j,x	撤
j,x	摟
j,x	擻
j,x	掖
j,x	抆
j.	寸
j.i	拄
j/	才
j/d	搗
j/j	掙
j/l	托
j/l	撬
j/n	捶
j/o	括
j/o	播
j/q	拍
j/u	搖
j/u	插
j/w	揪
j/x	搬
j/x	授
j/x	援
j/y	採
j;t	抖
ja	扶
ja.	捻
ja.	拎
jaa	撿
jaa	挾
jaa	揍
jaa	撳
jae	捺
jai	拴
jal	掩
jam	擒
jam	掄
jan	挫
jao	捨
jao	搶
jao	拾
jap	拎
jat	捧
jat	攆
jaw	撩
jaw	撚
jb	扔
jbb	攝
jcd	拒
jcl	擺
jcp	抑
jct	擇
jct	撢
jd	扭
jda	抉
jdb	挪
jdh	拂
jdi	擢
jdl	抱
jdo	招
jdo	拘
jdq	摺
jdt	掃
jdu	掏
jdy	掬
jee	排
jel	挑
jeo	拓
jeo	擂
jer	頂
jet	抨
jex	擾
jf'	擴
jf,	蜇
jf/	抓
jfa	掀
jfd	擄
jfk	振
jfl	抵
jfl	扼
jfn	捱
jfo	哲
jfo	搪
jft	折
jft	拆
jfw	摭
jfx	拔
jfx	披
jfx	扳
jfz	據
jge	擦
jge	搾
jgi	控
jgj	擰
jgl	挖
jgt	揮
jgx	按
jgy	探
jh'	拱
jha	摸
jha	撲
jhe	拑
jhi	攤
jhm	搆
jho	描
jho	搭
jhq	措
jht	撕
jhx	撒
jhx	擭
jhy	搽
ji	扛
ji	扑
jie	扯
jio	抽
jio	拈
jio	捂
jit	掉
jj	打
jk'	攬
jkl	拖
jkw	撫
jl	找
jl	扎
jl.	撼
jla	擬
jli	拭
jll	批
jlm	揹
jlm	撾
jln	挺
jlq	指
jlq	揩
jlv	撻
jm	捫
jmo	擱
jmy	攔
jn'	挽
jn'	撓
jn'	攙
jna	換
jna	歌
jnd	拷
jni	掛
jnj	持
jnn	挂
jno	擔
jno	拮
jnr	擷
jo	可
jo	扣
jo'	撰
jo,	拇
joa	捉
job	揖
jod	拐
joe	摑
joi	押
joj	哥
joj	捌
jol	挹
jom	捐
jor	損
joy	操
joy	捆
jpa	捩
jph	摒
jpl	抿
jpn	握
jpu	掘
jqa	提
jqd	揚
jql	把
jqn	捏
jqo	揭
jqt	捍
jqx	撮
jqx	攫
js/	摻
jsa	挨
jsd	拗
jsh	拚
jso	抬
jta	捷
jtj	搏
jtm	捕
jto	誓
jtt	擀
jtx	技
ju'	攪
jui	摧
jum	攜
jum	揣
juu	拙
jux	搜
jvb	擲
jvh	拼
jvi	搓
jvj	撙
jw/	抄
jwd	撈
jwj	撐
jwl	捲
jwm	捎
jwo	擋
jwt	拌
jwx	撇
jx,	搔
jy	抹
jyc	揀
jze	拯
jzj	抒
jzy	揉
k'a	篌
k'i	雉
k'j	符
k'l	筏
k'x	簸
k'y	篠
k,'	毓
k,k	簑
k,m	篙
k,r	簣
k,v	笠
k,x	簍
k.a	筷
k/;	漿
k/a	笑
k/a	獎
k/c	醬
k/i	篁
k/j	將
k/j	箏
k/m	矯
k/n	笙
k/n	箠
k/t	牌
k/t	舞
k/t	箄
k/x	矮
k/y	槳
k;j	簿
k;q	箔
ka	矢
ka.	狀
kaa	簽
kal	籤
kam	籥
kao	知
kao	答
kcc	籃
kcd	矩
kci	筐
kcl	篾
kcq	簪
kct	罈
kda	缺
kda	簇
kdd	篛
kdh	簫
kdi	第
kdq	筍
kdt	筆
ke	乍
ke.	怎
kee	竺
kej	竽
kep	卸
ket	竿
kev	短
kew	篤
kfw	簾
kfx	版
kgo	管
kh'	箕
kh'	簧
khi	罐
kht	舞
khw	無
khy	牒
ki'	筑
kia	筮
kio	笛
kiy	築
kjh	箝
kjo	籀
kke	笮
kl	乞
kl	戕
kl	气
kl'	氪
kl;	氯
kla	氦
klb	氖
klc	氳
klc	臧
kld	氟
kld	氛
kle	筵
kli	氫
kli	氬
kll	箋
kll	篦
klm	氰
klo	氤
klo	箴
klt	篷
klv	氧
klw	氮
klx	氨
kly	氣
km;	籐
kmd	筋
kmi	籬
kmj	箭
kml	籠
kmo	筒
kmq	簡
kmr	籲
kmy	籣
kn	壯
kna	奘
knd	筠
knj	等
knk	裝
kno	牆
kno	簷
knq	箸
knr	牘
ko,	每
ko.	每
koj	籌
koo	箇
koq	智
kot	篩
kot	簞
kox	敏
koz	篆
kpm	篇
kpm	牖
kq'	筧
kqh	算
kql	笆
kqs	篡
kqw	纂
kso	笞
ksp	節
kt	年
kt	午
ktl	範
ktu	缶
kui	缸
kwi	籮
kx	妝
kxw	繁
kya	簌
kye	笨
kye	缽
kym	策
kyq	箱
kyq	籍
kyr	籟
l'a	送
l'i	進
l'j	遵
l,,	蝨
l,m	適
l,o	這
l,o	遣
l,r	遺
l,z	遊
l.	戍
l/	匕
l/,	虱
l/a	迭
l/b	透
l/d	邊
l/d	鳶
l/e	延
l/i	遑
l/l	飛
l/n	廷
l/o	追
l/q	迫
l/q	旨
l/u	遙
l/x	邀
laj	逾
law	遼
lay	途
lc	迺
lc;	遝
lci	邏
lck	還
lcl	遷
lcp	迎
ld	成
ld	切
ld;	逮
ldc	盛
ldl	迆
ldo	迦
ldo	迢
ldo	遛
ldt	建
ldt	違
ldt	肄
le	戌
lei	逕
lej	迂
lel	逃
lel	邐
lem	邇
leo	逼
leo	咸
leq	旨
ler	頃
ler	貳
ler	穎
lev	逗
lex	威
lff	遞
lfo	逅
lfq	遁
lft	近
lft	斷
lfw	遮
lfx	返
lfz	遽
lgt	運
lgz	邃
lh	戒
lhm	邁
lhm	遘
lhq	遭
lht	蓮
li	式
li.	慼
lij	划
lio	迪
liw	戚
lix	收
ljt	逝
lkl	迄
lkl	迤
llc	盞
lle	比
llq	皆
llt	迅
lm'	真
lma	真
lmm	過
lmo	週
lmo	迥
ln'	逸
lnk	遠
lnn	逵
lno	造
lnt	邂
lnv	達
lnx	遨
lo'	選
lo.	感
lo.	惑
loe	或
lom	遇
lon	逞
loo	迴
lpm	遍
lpt	遲
lpt	避
lpx	遐
lqd	遢
lqi	暹
lqk	退
lqo	遏
ls	巡
lsl	邋
lso	迨
lt	戎
lt	卂
ltt	連
lva	送
lvh	迸
lvj	導
lvj	遵
lvq	道
lvt	逆
lvu	逆
lvz	遂
lwa	蹙
lwm	逍
lwt	遴
lwy	迷
lxt	逢
ly.	述
lyo	速
lz	逐
lz'	邈
lza	疑
lzi	逛
lzm	通
lzw	遜
lzw	逖
m'	肌
m''	脫
m''	閱
m'a	朕
m'a	闋
m'h	胼
m'i	雕
m'l	閥
m'p	腳
m'x	股
m'x	骰
m,	丹
m,	閩
m,'	骯
m,.	臆
m,/	彤
m,a	閡
m,a	骸
m,d	肪
m,d	膀
m,h	臍
m,i	臃
m,l	朧
m,t	肺
m,t	鬧
m,x	腋
m,x	閔
m,x	髏
m.	悶
m/.	懸
m/;	腺
m/n	腫
m/t	脾
m/t	髀
m/w	縣
m;o	闊
ma	內
ma	央
ma	閃
maa	肉
maa	臉
mac	盎
mad	胰
mad	胯
mad	鴦
mal	腌
mao	閤
maq	膾
mb	聞
mce	膘
mcx	腰
md	肋
md/	膠
mdl	胞
mdt	闈
mdu	胸
me	且
me	閂
me'	具
med	助
mee	胚
mee	腓
meh	開
mek	脹
mem	膈
meo	同
meq	冒
met	肝
mev	脰
mew	闖
mfc	臚
mfj	腑
mfk	脈
mfk	脤
mfl	胝
mfs	肱
mfs	閎
mg'	髖
mgi	腔
mgl	腕
mgm	骨
mgr	臏
mgx	胺
mh	冊
mh'	鬨
mha	膜
mhh	髒
mhj	刪
mhl	臟
mhz	朦
mi	肛
mi	閏
mij	刖
mix	闞
mj.	肘
mj/	閉
mkx	腹
ml	甩
ml'	闐
mle	閾
mlk	腿
mlm	髓
mlq	脂
mlt	腱
mm	朋
mm	閒
mmd	鵬
mmo	胴
mn	肚
mn	冉
mn'	冕
mn/	膨
mnc	闔
mnl	脆
mnm	腈
mnn	閨
mno	周
mno	膽
mnr	臢
mnu	閻
mo	問
mo.	腮
mo/	彫
moa	胭
moi	胛
moi	閘
moo	閭
moo	闆
mot	闡
moy	髁
mp;	脲
mpt	闢
mpx	服
mq	間
mq'	腆
mqd	腸
mqd	髑
mqk	膿
mql	肥
mqn	腥
mqv	體
msh	關
msl	臘
mso	腦
mso	胎
mt	用
mtj	膊
mtl	肫
mtm	脯
mto	骷
mtx	肢
mtz	脖
mu	凸
mua	腴
muj	剛
mv'	脫
mva	闕
mvh	胼
mvl	罔
mvo	膳
mvu	岡
mw'	胱
mw;	滕
mwd	勝
mwe	騰
mwn	膛
mwo	謄
mwr	賸
mwt	胖
mxo	閣
mxo	胳
mxo	骼
my	閑
my;	膝
myc	闌
mz	豚
n'a	堠
n'b	聲
n'd	勢
n'd	勉
n'd	坋
n'i	堆
n'j	摯
n'l	戴
n'l	截
n'n	墊
n'o	磬
n'q	馨
n'u	罄
n'w	熱
n'x	殼
n'x	穀
n'x	轂
n,	坤
n,'	境
n,'	坑
n,a	垓
n,d	坊
n,e	壇
n,k	壞
n,k	壤
n,m	堉
n,o	培
n,v	垃
n,w	鯨
n,x	墩
n,x	鮫
n,z	壕
n.	志
n/'	塊
n/d	考
n/d	塢
n/j	靜
n/l	老
n/n	耋
n/o	墦
n/p	鯽
n/q	者
n/t	埠
n/t	埤
n/w	煮
n/w	壎
n/w	鯀
n/w	鰍
n/y	穌
n/z	孝
n;t	斛
na	欠
na/	趁
nad	垮
nai	赴
nal	越
nao	嗇
nax	塽
nbx	趣
nc;	鰥
ncd	觸
nce	鰾
ncl	龜
ncr	賣
ncx	堰
nd,	蟹
nd;	均
ndd	趨
ndd	翹
ndl	地
ndl	鮑
ndo	超
ndo	嘉
ndt	解
ndx	敖
nd.	急
ned	圬
nee	坯
nee	垣
